anio;mes;dia;barra;tension;valor
2022;6;26;CARDONES______220;220;283,71
2022;6;26;TARAPACA______220;220;287,41
2022;6;27;P.AZUCAR______220;220;362,48
2022;6;10;ATACAMA_______220;220;111,20
2022;6;13;CHARRUA_______220;220;216,39
2022;6;10;P.AZUCAR______220;220;116,23
2022;6;27;ATACAMA_______220;220;356,33
2022;6;9;CARDONES______220;220;101,02
2022;6;9;TARAPACA______220;220;103,96
2022;6;15;CRUCERO_______220;220;220,21
2022;6;29;P.MONTT_______220;220;158,78
2022;6;30;CHARRUA_______220;220;170,50
2022;6;4;QUILLOTA______220;220;149,22
2022;6;12;P.MONTT_______220;220;46,70
2022;6;21;QUILLOTA______220;220;220,54
2022;6;1;ATACAMA_______220;220;213,39
2022;6;18;CARDONES______220;220;184,42
2022;6;18;ATACAMA_______220;220;181,12
2022;6;5;CHARRUA_______220;220;102,37
2022;6;18;P.AZUCAR______220;220;185,25
2022;6;17;TARAPACA______220;220;239,74
2022;6;1;CARDONES______220;220;220,90
2022;6;6;CRUCERO_______220;220;95,46
2022;6;23;CRUCERO_______220;220;181,44
2022;6;21;P.MONTT_______220;220;232,38
2022;6;22;CHARRUA_______220;220;225,95
2022;6;12;QUILLOTA______220;220;149,33
2022;6;29;QUILLOTA______220;220;186,72
2022;6;4;P.MONTT_______220;220;157,37
2022;6;1;P.AZUCAR______220;220;224,72
2022;6;8;TARAPACA______220;220;108,85
2022;6;11;P.AZUCAR______220;220;186,11
2022;6;9;ATACAMA_______220;220;98,65
2022;6;26;ATACAMA_______220;220;282,91
2022;6;10;TARAPACA______220;220;116,34
2022;6;25;CARDONES______220;220;253,40
2022;6;14;CHARRUA_______220;220;208,58
2022;6;16;CRUCERO_______220;220;226,02
2022;6;27;TARAPACA______220;220;372,96
2022;6;28;P.AZUCAR______220;220;240,99
2022;6;25;CRUCERO_______220;220;242,54
2022;6;3;QUILLOTA______220;220;132,90
2022;6;11;P.MONTT_______220;220;247,98
2022;6;20;QUILLOTA______220;220;303,76
2022;6;28;P.MONTT_______220;220;91,07
2022;6;16;CARDONES______220;220;226,64
2022;6;17;ATACAMA_______220;220;226,46
2022;6;18;TARAPACA______220;220;192,21
2022;6;19;P.AZUCAR______220;220;203,20
2022;6;2;P.AZUCAR______220;220;173,33
2022;6;17;CARDONES______220;220;231,92
2022;6;1;TARAPACA______220;220;218,14
2022;6;6;CHARRUA_______220;220;97,99
2022;6;7;CRUCERO_______220;220;90,28
2022;6;24;CRUCERO_______220;220;267,77
2022;6;23;CHARRUA_______220;220;220,14
2022;6;11;QUILLOTA______220;220;179,16
2022;6;28;QUILLOTA______220;220;233,65
2022;6;3;P.MONTT_______220;220;304,09
2022;6;20;P.MONTT_______220;220;300,73
2022;6;8;CARDONES______220;220;105,25
2022;6;8;ATACAMA_______220;220;106,60
2022;6;25;ATACAMA_______220;220;242,00
2022;6;15;QUILLOTA______220;220;225,06
2022;6;13;CRUCERO_______220;220;214,37
2022;6;30;CRUCERO_______220;220;168,47
2022;6;28;CARDONES______220;220;245,02
2022;6;28;TARAPACA______220;220;263,66
2022;6;12;ATACAMA_______220;220;148,94
2022;6;15;CHARRUA_______220;220;228,06
2022;6;11;CARDONES______220;220;187,26
2022;6;29;ATACAMA_______220;220;186,64
2022;6;11;TARAPACA______220;220;197,02
2022;6;27;P.MONTT_______220;220;334,17
2022;6;24;CHARRUA_______220;220;283,11
2022;6;25;P.AZUCAR______220;220;258,23
2022;6;6;QUILLOTA______220;220;98,22
2022;6;8;P.AZUCAR______220;220;105,80
