reservorio	fecha	agua_caida
ACONCAGUA	2017-01-01	0,0
CHAPO	2017-01-01	3,0
COLBÚN	2017-01-01	0,0
INVERNADA	2017-01-01	0,0
LAJA	2017-01-01	0,0
LOS MOLLES	2017-01-01	0,0
MELADO	2017-01-01	0,0
PANGUE	2017-01-01	0,0
PILMAIQUEN	2017-01-01	0,0
PULLINQUE	2017-01-01	0,0
RAPEL	2017-01-01	0,0
SAUZAL	2017-01-01	0,0
ACONCAGUA	2017-01-02	0,0
CHAPO	2017-01-02	26,0
COLBÚN	2017-01-02	0,0
INVERNADA	2017-01-02	0,0
LAJA	2017-01-02	0,0
LOS MOLLES	2017-01-02	0,0
MELADO	2017-01-02	0,0
PANGUE	2017-01-02	0,0
PILMAIQUEN	2017-01-02	6,7
PULLINQUE	2017-01-02	0,0
RAPEL	2017-01-02	0,0
SAUZAL	2017-01-02	0,0
ACONCAGUA	2017-01-03	0,0
CHAPO	2017-01-03	19,0
COLBÚN	2017-01-03	0,0
INVERNADA	2017-01-03	0,0
LAJA	2017-01-03	0,0
LOS MOLLES	2017-01-03	0,0
MELADO	2017-01-03	0,0
PANGUE	2017-01-03	2,1
PILMAIQUEN	2017-01-03	12,0
PULLINQUE	2017-01-03	9,0
RAPEL	2017-01-03	0,0
SAUZAL	2017-01-03	0,0
ACONCAGUA	2017-01-04	0,0
CHAPO	2017-01-04	9,5
COLBÚN	2017-01-04	0,0
INVERNADA	2017-01-04	0,0
LAJA	2017-01-04	0,0
LOS MOLLES	2017-01-04	0,0
MELADO	2017-01-04	0,0
PANGUE	2017-01-04	0,0
PILMAIQUEN	2017-01-04	0,0
PULLINQUE	2017-01-04	0,0
RAPEL	2017-01-04	0,0
SAUZAL	2017-01-04	0,0
ACONCAGUA	2017-01-05	0,0
CHAPO	2017-01-05	0,0
COLBÚN	2017-01-05	0,0
INVERNADA	2017-01-05	0,0
LAJA	2017-01-05	0,0
LOS MOLLES	2017-01-05	0,0
MELADO	2017-01-05	0,0
PANGUE	2017-01-05	0,0
PILMAIQUEN	2017-01-05	0,0
PULLINQUE	2017-01-05	0,0
RAPEL	2017-01-05	0,0
SAUZAL	2017-01-05	0,0
ACONCAGUA	2017-01-06	0,0
CHAPO	2017-01-06	33,5
COLBÚN	2017-01-06	0,0
INVERNADA	2017-01-06	0,0
LAJA	2017-01-06	0,0
LOS MOLLES	2017-01-06	0,0
MELADO	2017-01-06	0,0
PANGUE	2017-01-06	0,0
PILMAIQUEN	2017-01-06	0,0
PULLINQUE	2017-01-06	0,0
RAPEL	2017-01-06	0,0
SAUZAL	2017-01-06	0,0
ACONCAGUA	2017-01-07	0,0
CHAPO	2017-01-07	13,5
COLBÚN	2017-01-07	0,0
INVERNADA	2017-01-07	0,0
LAJA	2017-01-07	0,0
LOS MOLLES	2017-01-07	0,0
MELADO	2017-01-07	0,0
PANGUE	2017-01-07	0,0
PILMAIQUEN	2017-01-07	15,0
PULLINQUE	2017-01-07	9,0
RAPEL	2017-01-07	0,0
SAUZAL	2017-01-07	0,0
ACONCAGUA	2017-01-08	0,0
CHAPO	2017-01-08	48,0
COLBÚN	2017-01-08	0,0
INVERNADA	2017-01-08	0,0
LAJA	2017-01-08	31,0
LOS MOLLES	2017-01-08	0,0
MELADO	2017-01-08	0,0
PANGUE	2017-01-08	22,9
PILMAIQUEN	2017-01-08	47,0
PULLINQUE	2017-01-08	40,0
RAPEL	2017-01-08	0,0
SAUZAL	2017-01-08	0,0
ACONCAGUA	2017-01-09	0,0
CHAPO	2017-01-09	5,0
COLBÚN	2017-01-09	6,0
INVERNADA	2017-01-09	2,0
LAJA	2017-01-09	3,0
LOS MOLLES	2017-01-09	0,0
MELADO	2017-01-09	3,2
PANGUE	2017-01-09	0,0
PILMAIQUEN	2017-01-09	3,0
PULLINQUE	2017-01-09	0,0
RAPEL	2017-01-09	0,0
SAUZAL	2017-01-09	0,0
ACONCAGUA	2017-01-10	0,0
CHAPO	2017-01-10	0,5
COLBÚN	2017-01-10	0,0
INVERNADA	2017-01-10	0,0
LAJA	2017-01-10	0,0
LOS MOLLES	2017-01-10	0,0
MELADO	2017-01-10	0,0
PANGUE	2017-01-10	0,0
PILMAIQUEN	2017-01-10	0,0
PULLINQUE	2017-01-10	0,0
RAPEL	2017-01-10	0,0
SAUZAL	2017-01-10	0,0
ACONCAGUA	2017-01-11	0,0
CHAPO	2017-01-11	4,0
COLBÚN	2017-01-11	0,0
INVERNADA	2017-01-11	0,0
LAJA	2017-01-11	0,0
LOS MOLLES	2017-01-11	0,0
MELADO	2017-01-11	0,0
PANGUE	2017-01-11	0,0
PILMAIQUEN	2017-01-11	0,0
PULLINQUE	2017-01-11	0,0
RAPEL	2017-01-11	0,0
SAUZAL	2017-01-11	0,0
ACONCAGUA	2017-01-12	0,0
CHAPO	2017-01-12	11,0
COLBÚN	2017-01-12	0,0
INVERNADA	2017-01-12	0,0
LAJA	2017-01-12	0,0
LOS MOLLES	2017-01-12	0,0
MELADO	2017-01-12	0,0
PANGUE	2017-01-12	0,0
PILMAIQUEN	2017-01-12	0,0
PULLINQUE	2017-01-12	0,0
RAPEL	2017-01-12	0,0
SAUZAL	2017-01-12	0,0
ACONCAGUA	2017-01-13	0,0
CHAPO	2017-01-13	0,0
COLBÚN	2017-01-13	0,0
INVERNADA	2017-01-13	0,0
LAJA	2017-01-13	0,0
LOS MOLLES	2017-01-13	0,0
MELADO	2017-01-13	0,0
PANGUE	2017-01-13	0,0
PILMAIQUEN	2017-01-13	0,0
PULLINQUE	2017-01-13	0,0
RAPEL	2017-01-13	0,0
SAUZAL	2017-01-13	0,0
ACONCAGUA	2017-01-14	0,0
CHAPO	2017-01-14	0,0
COLBÚN	2017-01-14	0,0
INVERNADA	2017-01-14	0,0
LAJA	2017-01-14	1,0
LOS MOLLES	2017-01-14	0,0
MELADO	2017-01-14	0,0
PANGUE	2017-01-14	0,0
PILMAIQUEN	2017-01-14	0,0
PULLINQUE	2017-01-14	0,0
RAPEL	2017-01-14	0,0
SAUZAL	2017-01-14	0,0
ACONCAGUA	2017-01-15	0,0
CHAPO	2017-01-15	0,0
COLBÚN	2017-01-15	0,0
INVERNADA	2017-01-15	0,0
LAJA	2017-01-15	0,0
LOS MOLLES	2017-01-15	0,0
MELADO	2017-01-15	0,0
PANGUE	2017-01-15	0,0
PILMAIQUEN	2017-01-15	0,0
PULLINQUE	2017-01-15	0,0
RAPEL	2017-01-15	0,0
SAUZAL	2017-01-15	0,0
ACONCAGUA	2017-01-16	0,0
CHAPO	2017-01-16	13,0
COLBÚN	2017-01-16	0,0
INVERNADA	2017-01-16	0,0
LAJA	2017-01-16	0,0
LOS MOLLES	2017-01-16	0,0
MELADO	2017-01-16	0,0
PANGUE	2017-01-16	0,0
PILMAIQUEN	2017-01-16	1,0
PULLINQUE	2017-01-16	0,0
RAPEL	2017-01-16	0,0
SAUZAL	2017-01-16	0,0
ACONCAGUA	2017-01-17	0,0
CHAPO	2017-01-17	0,0
COLBÚN	2017-01-17	0,0
INVERNADA	2017-01-17	0,0
LAJA	2017-01-17	0,0
LOS MOLLES	2017-01-17	0,0
MELADO	2017-01-17	0,0
PANGUE	2017-01-17	0,0
PILMAIQUEN	2017-01-17	0,0
PULLINQUE	2017-01-17	0,0
RAPEL	2017-01-17	0,0
SAUZAL	2017-01-17	0,0
ACONCAGUA	2017-01-18	0,0
CHAPO	2017-01-18	1,0
COLBÚN	2017-01-18	0,0
INVERNADA	2017-01-18	0,0
LAJA	2017-01-18	0,0
LOS MOLLES	2017-01-18	0,0
MELADO	2017-01-18	0,0
PANGUE	2017-01-18	0,0
PILMAIQUEN	2017-01-18	0,0
PULLINQUE	2017-01-18	0,0
RAPEL	2017-01-18	0,0
SAUZAL	2017-01-18	0,0
ACONCAGUA	2017-01-19	0,0
CHAPO	2017-01-19	3,0
COLBÚN	2017-01-19	0,0
INVERNADA	2017-01-19	0,0
LAJA	2017-01-19	0,0
LOS MOLLES	2017-01-19	0,0
MELADO	2017-01-19	0,0
PANGUE	2017-01-19	0,0
PILMAIQUEN	2017-01-19	0,0
PULLINQUE	2017-01-19	0,0
RAPEL	2017-01-19	0,0
SAUZAL	2017-01-19	0,0
ACONCAGUA	2017-01-20	0,0
CHAPO	2017-01-20	0,0
COLBÚN	2017-01-20	0,0
INVERNADA	2017-01-20	0,0
LAJA	2017-01-20	0,0
LOS MOLLES	2017-01-20	0,0
MELADO	2017-01-20	0,0
PANGUE	2017-01-20	0,0
PILMAIQUEN	2017-01-20	0,0
PULLINQUE	2017-01-20	0,0
RAPEL	2017-01-20	0,0
SAUZAL	2017-01-20	0,0
ACONCAGUA	2017-01-21	0,0
CHAPO	2017-01-21	0,0
COLBÚN	2017-01-21	0,0
INVERNADA	2017-01-21	0,0
LAJA	2017-01-21	0,0
LOS MOLLES	2017-01-21	0,0
MELADO	2017-01-21	0,0
PANGUE	2017-01-21	0,0
PILMAIQUEN	2017-01-21	0,0
